channelcode,carnum1,carnum2,type,time,lane,dir,LNG,LAT
AjQbFdt8B1BLO8VTH4RLV8,’„G,5A42F8F887DD69CF0434610938220288,2,2019/12/20 0:00,1,2,5,6
AjQbFdt8A1B5KAV1H8V1NH,œÊA,2EB574F9D3632C13CB589ED2BB2E5565,2,2019/12/20 0:00,2,0,119.934,29.247
AjQbFdt8B1BLO8VTJDCRSM,ÕÓK,C81EEC3A08C4ED827C9CDBA1DA1E4505,1,2019/12/20 0:00,3,,,
AjQbFdt8B1B6U6LVU92HSE,’„G,F9E803151470D159C7D93A8AC5DE9134,2,2019/12/20 0:00,1,,119.978,29.3073
AjQbFdt8B1BLO8VTFTMJG4,‘•P,71B87C719B1B2D60A6B16895CECFE02A,2,2019/12/20 0:00,1,2,,
AjQbFdt8B1BLO8VTJEBEV9,’„G,08072C55542CE179FA778DBC5AEC2BFB,2,2019/12/20 0:00,2,,,
AjQbFdt8B1B5K31KOIBS40,’„G,07141C9524184B0AE51AA63D9BD362FC,2,2019/12/20 0:00,3,1,120.046,29.2944
AjQbFdt8B1BHG132QKAJGV,’„G,CE77505A77D649FA88D720D5A01A9484,2,2019/12/20 0:00,1,2,120.056,29.2865
AjQbFdt8A1B5KAV1PG9DGH,’„G,FF95A24BE38D4B3ED0EB2FD9A0187252,2,2019/12/20 0:00,1,1,120.107,29.3017
AjQbFdt8B1BLO8VTJJ48DU,’„G,EF599D1CF599EB1603EEB08EECD05815,2,2019/12/20 0:00,1,0,120.032,29.3152
AjQbFdt8A1B5KAV1ATNOT1,’„G,CA560F887D2CE61883EC352EE6671DC2,2,2019/12/20 0:00,3,0,120.098,29.2925
AjQbFdt8B1B5K31L83DF0A,’„G,028160792A64A2457153638A9EFE997B,2,2019/12/20 0:00,3,2,120.039,29.2866
AjQbFdt8B1BLO8VTFTMJCC,’„P,4AEB0FBFA6E170E14B015FF7FD623A67,2,2019/12/20 0:00,1,3,,
AjQbFdt8A1B5KAV1OB2C6R,’„G,9184E3AEA5CAC237B123873C3295A637,2,2019/12/20 0:00,3,3,120.036,29.2733
AjQbFdt8B1BLO8VTGC126L,’„G,FC099E1435BD56258801DB4F8DA80877,2,2019/12/20 0:00,3,0,,
AjQbFdt8B1BLO8VTJ9IL45,’„G,164660541DC883D3115A0C0029A0BADF,2,2019/12/20 0:00,2,,,
AjQbFdt8B1B5K31KOM60N9,¬≥B,C7C4D974E1FEBA21AB810853F546D095,2,2019/12/20 0:00,4,0,120.111,29.3374
AjQbFdt8B1B5K31L7QQJC0,’„G,51F0FBD4CF7BA80ABF8C077CCD06C145,2,2019/12/20 0:00,2,2,120.138,29.3117
AjQbFdt8A1B5KAV1B795NR,’„G,6793F6E6CC24DE94B092501120E69CA7,2,2019/12/20 0:00,2,3,120.138,29.3063
AjQbFdt8A1B5KAV1FR5HE8,’„G,174F960BA8D3ADE06F8A6A33C62D173A,2,2019/12/20 0:00,2,1,120.028,29.3125
AjQbFdt8B1BHG132N4LBL3,ÕÓA,56A86A2B1A4F39848894A6EB6F57103B,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MJFAKC,’„G,387BCD37352F1FD62B8FC60BB4BA5075,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MDNU3P,’„G,A8C418A1A4773E8AAAF6EA86D5EDFC25,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MMAVKG,‘•A,0A2AE259B96DA588F02EF07FBE665A7F,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OQ2UFO,’„G,755A6F28C238103EE20FD25AE595A8CF,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LQKMHV,’„G,191078D3C9A9CC6E1711D3FEEFED28AB,1,2019/12/20 0:00,0,,,
AjQbFdt8A1BDJ7F0UMQP4O,’„G,57F870FEF13C05E17363314FB777A851,2,2019/12/20 0:00,4,1,,
AjQbFdt8B1B6U6LVU92I19,’„G,F9E803151470D159C7D93A8AC5DE9134,2,2019/12/20 0:00,1,,119.978,29.3073
AjQbFdt8B1BLO8VTJI5LLA,’„G,24844FB9437598E48C2E8B62D39C8915,2,2019/12/20 0:00,3,1,120.125,29.3302
AjQbFdt8B1B5K31KNC6IR5,’„G,91FC7D2CD3BC3E394867C4C8437B8218,2,2019/12/20 0:00,4,1,120.106,29.2995
AjQbFdt8A1B5KAV1CRO2A9,’„G,312B25AE0CBE321279FE02EBA9B19AB4,2,2019/12/20 0:00,2,0,119.902,29.0499
AjQbFdt8B1B5K31L7VJ9LG,’„G,942A071DC9F0736A5DA9CF015B84137F,2,2019/12/20 0:00,1,3,120.053,29.3112
AjQbFdt8A1B5KAV1FR5HLH,’„G,174F960BA8D3ADE06F8A6A33C62D173A,2,2019/12/20 0:00,2,1,120.028,29.3125
AjQbFdt8B1BLO8VTFTMJG4,º™J,73DB731AAD0CEC0AD5F99DC7FF6C69E5,2,2019/12/20 0:00,2,2,,
AjQbFdt8B1BLO8VTD05F8I,’„G,0E3878D23476B9CB6329238ABF66704D,2,2019/12/20 0:00,2,,120.093,29.3144
AjQbFdt8B1BLO8VTH8LT17,’„G,04177688D13FC637637A49DB9532ECD4,2,2019/12/20 0:00,3,3,,
AjQbFdt8B1B86TBML6O2AB,’„G,DFB69FDD30DE06BA98D507BC4CE0B272,2,2019/12/20 0:00,2,0,120.062,29.2799
AjQbFdt8B1BLO8VTCT9PDD,’„G,180118773B73B92943D447E01B8D80A6,2,2019/12/20 0:00,3,,120.117,29.2919
AjQbFdt8B1BLO8VTCNID35,’„G,03706D47946AE9B94C0535BCBE741C9F,2,2019/12/20 0:00,2,,120.061,29.2646
AjQbFdt8A1B5KAV1O4CK0K,’„G,58E8799043BC41576B3D7BFE5CA50161,2,2019/12/20 0:00,1,2,,
AjQbFdt8B1B86TBMKKJD83,’„G,4C3BCB3EE81B3B52DFCFA427F6CB805F,2,2019/12/20 0:00,1,1,,
AjQbFdt8A1B5KAV1HT05NR,‘•B,124809E9080CB2E81B3781B638A0F9E0,1,2019/12/20 0:00,2,0,120.011,29.2837
AjQbFdt8A1B9BQBJBR2N9S,’„G,6018B10A93F710F559106A59C6BEB81A,2,2019/12/20 0:00,1,1,120.107,29.307
AjQbFdt8A1B9BQBJBUSVBK,’„G,B41AEF540DEC930FF84D495C7099C513,2,2019/12/20 0:00,2,0,,
AjQbFdt8B1B5K31L7VJA7R,’„G,92BE60E60D3AF2A70B930934D2B27A5A,2,2019/12/20 0:00,1,0,120.053,29.311
AjQbFdt8A1BDJ7F0UKTMJK,’„G,4F5C42708514AB83AC106A497B8512DD,52,2019/12/20 0:00,3,0,,
AjQbFdt8A1BL1TPJSOETB9,∫⁄G,A4D4247651B4F47741EC072AE805A57B,2,2019/12/20 0:00,5,1,,
AjQbFdt8B1BHG132MAS8SV,’„G,BDD50035DA59C956D9406F4223DD5395,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LNP0UH,’„G,D0A5B0FF412C99BDDB79609A5636814C,1,2019/12/20 0:00,0,,,
